210,4,47.4,34.9,98.67,67.26
210,5,40.8,39.2,80,80
210,6,45.8,13.5,100,25
210,7,30,30,60,60
210,8,23.6,31.6,39.03,80
210,9,33.8,22.5,80,39.03
210,10,25.6,26.7,34.92,100
210,11,30,30,74,50.45
210,12,19.2,23.1,25,100
210,13,36,44.2,78,82.1
210,14,25.8,36.1,50.45,74
210,15,31.8,33.2,100,48.79
210,16,27.8,43,48.79,100
210,17,20.7,20.7,80,27.94
210,18,40,40,67.26,98.67
210,19,12,17,80,20
210,20,27.4,32.7,58.5,61.57
210,21,40,40,82.1,78
210,22,14,39.9,27.94,80
301,1,68.4,11,100,34.92
301,2,10.2,39.2,20,80
301,3,10,49,61.57,58.5
301,4,82.8,10.8,98.67,67.26
301,5,10,70,80,80
301,6,100,0,100,25
301,7,10.4,49.6,60,60
301,8,10,59.5,39.03,80
301,9,60,9.7,80,39.03
301,10,10.2,70.7,34.92,100
301,11,52,15,74,50.45
301,12,10,60,25,100
301,13,20.6,60.4,78,82.1
301,14,10.4,58.7,50.45,74
301,15,79.4,10,100,48.79
301,16,10,79.5,48.79,100
301,17,50.2,10.4,80,27.94
301,18,10,84,67.26,98.67
301,19,80,0,80,20
301,20,20.6,39.8,58.5,61.57
301,21,19.8,59.1,82.1,78
301,22,11.2,47.9,27.94,80
302,1,100,0,100,34.92
302,2,0,80,20,80
302,3,61.57,0,61.57,58.5
302,4,98.6,0,98.67,67.26
302,5,40,40,80,80
302,6,99.8,0,100,25
302,7,30,30,60,60
302,8,0,80,39.03,80
302,9,79.8,0,80,39.03
302,10,0,100,34.92,100
302,11,74,0,74,50.45
302,12,0,100,25,100
302,13,0,82.1,78,82.1
302,14,0,74,50.45,74
302,15,99.8,0,100,48.79
302,16,0,100,48.79,100
302,17,80,0,80,27.94
302,18,0,98.6,67.26,98.67
302,19,80,0,80,20
302,20,0,61.57,58.5,61.57
302,21,82,0,82.1,78
302,22,0,80,27.94,80
303,1,65,12.2,100,34.92
303,2,7.6,49.6,20,80
303,3,40.2,20.3,61.57,58.5
303,4,55.2,29.6,98.67,67.26
303,5,50,30,80,80
303,6,70,7.5,100,25
303,7,35,25,60,60
303,8,14.6,50,39.03,80
303,9,55,12.1,80,39.03
303,10,10.4,70.2,34.92,100
303,11,40,23.1,74,50.45
303,12,10,60,25,100
303,13,45.2,34.5,78,82.1
303,14,20.2,44.3,50.45,74
303,15,65,17,100,48.79
303,16,15,69.2,48.79,100
303,17,50,10.4,80,27.94
303,18,23.6,64,67.26,98.67
303,19,50,7.5,80,20
303,20,20.2,40.3,58.5,61.57
303,21,50.2,30.3,82.1,78
303,22,10.4,50.2,27.94,80
305,1,50,17.4,100,34.92
305,2,10,40,20,80
305,3,30,30,61.57,58.5
305,4,40,40,98.67,67.26
305,5,40,40,80,80
305,6,52,12,100,25
305,7,30,30,60,60
305,8,20,39,39.03,80
305,9,40,19.5,80,39.03
305,10,17.4,50.1,34.92,100
305,11,40,23.1,74,50.45
305,12,12.4,50.4,25,100
305,13,40,40,78,82.1
305,14,25.2,37,50.45,74
305,15,50,24.3,100,48.79
305,16,24.4,49.9,48.79,100
305,17,40,13.9,80,27.94
305,18,40,40,67.26,98.67
305,19,40,10,80,20
305,20,30,30,58.5,61.57
305,21,40,40,82.1,78
305,22,14,39.9,27.94,80
306,1,30.6,24.2,100,34.92
306,2,16,16,20,80
306,3,30,30,61.57,58.5
306,4,70,19.5,98.67,67.26
306,5,40,40,80,80
306,6,35.6,16.1,100,25
306,7,30,30,60,60
306,8,24,30.8,39.03,80
306,9,30.2,24.2,80,39.03
306,10,24.4,30.1,34.92,100
306,11,40.2,23,74,50.45
306,12,20.2,19.1,25,100
306,13,40,40,78,82.1
306,14,23,40.2,50.45,74
306,15,38.4,30,100,48.79
306,16,24,50.8,48.79,100
306,17,30.2,17.3,80,27.94
306,18,40,40,67.26,98.67
306,19,30,12.5,80,20
306,20,30,30,58.5,61.57
306,21,18.6,60.3,82.1,78
306,22,20.7,20.7,27.94,80
307,1,31.4,23.9,100,34.92
307,2,3,68,20,80
307,3,58.4,3,61.57,58.5
307,4,45.2,36.4,98.67,67.26
307,5,41.2,38.8,80,80
307,6,45.2,13.7,100,25
307,7,31.6,28.4,60,60
307,8,23,32.8,39.03,80
307,9,39.6,19.7,80,39.03
307,10,19.8,43.3,34.92,100
307,11,51.6,15.2,74,50.45
307,12,15.4,38.4,25,100
307,13,44.2,35.5,78,82.1
307,14,26.2,35.5,50.45,74
307,15,43.2,27.7,100,48.79
307,16,30.2,38.1,48.79,100
307,17,40.2,13.9,80,27.94
307,18,40.6,39.1,67.26,98.67
307,19,35.4,11.1,80,20
307,20,32.6,27.2,58.5,61.57
307,21,42.2,37.9,82.1,78
307,22,15.4,35.9,27.94,80
308,1,100,0,100,34.92
308,2,0,80,20,80
308,3,30,30,61.57,58.5
308,4,40,40,98.67,67.26
308,5,40,40,80,80
308,6,100,0,100,25
308,7,30,30,60,60
308,8,0,80,39.03,80
308,9,80,0,80,39.03
308,10,0,100,34.92,100
308,11,30,30,74,50.45
308,12,0,100,25,100
308,13,40,40,78,82.1
308,14,20,44.6,50.45,74
308,15,59.4,19.8,100,48.79
308,16,0,100,48.79,100
308,17,80,0,80,27.94
308,18,26,60.5,67.26,98.67
308,19,80,0,80,20
308,20,30,30,58.5,61.57
308,21,40,40,82.1,78
308,22,0,80,27.94,80
309,1,100,0,100,34.92
309,2,0,80,20,80
309,3,30,30,61.57,58.5
309,4,40,40,98.67,67.26
309,5,40,40,80,80
309,6,100,0,100,25
309,7,30,30,60,60
309,8,26.23,26.23,39.03,80
309,9,26.2,26.2,80,39.03
309,10,0,100,34.92,100
309,11,30,30,74,50.45
309,12,0,100,25,100
309,13,40,40,78,82.1
309,14,30,30,50.45,74
309,15,100,0,100,48.79
309,16,0,100,48.79,100
309,17,80,0,80,27.94
309,18,40,40,67.26,98.67
309,19,80,0,80,20
309,20,30,30,58.5,61.57
309,21,40,40,82.1,78
309,22,0,80,27.94,80
310,1,37.2,21.9,100,34.92
310,2,16,16,20,80
310,3,30.6,29.4,61.57,58.5
310,4,40,40,98.67,67.26
310,5,40,40,80,80
310,6,20,20,100,25
310,7,30,30,60,60
310,8,26,26.7,39.03,80
310,9,26.23,26.23,80,39.03
310,10,25.88,25.88,34.92,100
310,11,30,30,74,50.45
310,12,20,20,25,100
310,13,40,40,78,82.1
310,14,30,30,50.45,74
310,15,32.79,32.79,100,48.79
310,16,32.79,32.79,48.79,100
310,17,20.7,20.7,80,27.94
310,18,40,40,67.26,98.67
310,19,16,16,80,20
310,20,30,30,58.5,61.57
310,21,40,40,82.1,78
310,22,20.7,20.7,27.94,80
401,1,100,0,100,34.92
401,2,0,80,20,80
401,3,30,30,61.57,58.5
401,4,40,40,98.67,67.26
401,5,40,40,80,80
401,6,100,0,100,25
401,7,30,30,60,60
401,8,0,80,39.03,80
